title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
So Far from God,"The U.S. War with Mexico, 1846-1848",history,John S. D. Eisenhower,9780806132792,http://books.google.com/books/content?id=srvXgPuHIvEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The Mexican-American War of the 1840s, precipitated by border disputes and the U.S. annexation of Texas, ended with the military occupation of Mexico City by General Winfield Scott. In the subsequent treaty, the United States gained territory that would become California, Nevada, New Mexico, Arizona, Utah, and parts of Wyoming and Colorado. In this highly readable account, John S.D. Eisenhower provides a comprehensive survey of this frequently overlooked war.",464.0
Selections from Homer's Iliad,"With an Introduction, Notes, a Short Homeric Grammar, and a Vocabulary","literary, criticism",Homer,9780806133638,http://books.google.com/books/content?id=nY-5r76h7SwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"First published in 1903, Selections from Homer's Iliad has become a classic Greek textbook. Allen Rogers Benner presents selections from twelve books of the Iliad in both Greek and English and short summaries that help students understand the Iliad as a work of literature and art.",522.0
Wizard,The Life and Times of Nikola Tesla : Biography of a Genius,"biography, autobiography",Marc J. Seifer,9780806519609,http://books.google.com/books/content?id=_EKV1A22x0sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Original material and recently acquired documents form the foundation of a biography of the man who served as an inspiration for modern electrical inventions,542.0
The Parrot Head Companion,An Insider's Guide to Jimmy Buffett,music,Thomas Ryan,9780806520155,http://books.google.com/books/content?id=O2IGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A complete study of Jimmy Buffett delves into the life of the well-known musician and author, while examining the subculture created by his devoted fans and followers. Original. 30,000 first printing.",176.0
Vicars of Christ,A History of the Popes,religion,Charles A. Coulombe,9780806523705,http://books.google.com/books/content?id=4tbYF51StSQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tracing the history of the papacy from ancient times to the present day, this illuminating study features detailed profiles of each pope, describing the events of their reign, their role in relation to Catholic doctrine, their accomplishments and failures, and other aspects of each man who ruled the Vatican.",492.0
The Minority Report,And Other Classic Stories,fiction,Philip K. Dick,9780806523798,http://books.google.com/books/content?id=R7rALwfN6pYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of eighteen science fiction short stories features ""The Minority Report,"" in which Commissioner John Anderton's clever use of ""precogs,"" people who can identify criminals before they can do any harm, turns against him when they identify him as the next criminal.",380.0
Man's Search for Meaning,An Introduction to Logotherapy,psychology,Viktor Emil Frankl,9780807014264,http://books.google.com/books/content?id=dnJmBMv2jUUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new gift edition of a modern classic, with supplemental photographs, speeches, letters, and essays Psychiatrist Viktor Frankl's memoir of life in Nazi death camps has riveted generations of readers. Based on Frankl's own experience and the stories of his patients, the book argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward. Man's Search for Meaning has become one of the most influential books of our times, selling over twelve million copies worldwide. With a foreword by Harold S. Kushner, Frankl's classic is presented here in an elegant new edition with endpapers, supplementary photographs, and several of Frankl's previously unpublished letters, speeches, and essays.",165.0
Art and Culture,Critical Essays,art,Clement Greenberg,9780807066812,http://books.google.com/books/content?id=lFMkAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Culture - Art in Paris - Abstract, Representational art - New Sculpture - Modernist Sculpture - Byzantine parallels - Modernist painting - Art in the United States - Literature.",288.0
You Can't be Neutral on a Moving Train,A Personal History of Our Times,"biography, autobiography",Howard Zinn,9780807071274,http://books.google.com/books/content?id=BShAI0hXbAcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"“An inspiring autobiography . . . in the tradition of Martin Luther King’s ‘Letter from a Birmingham Jail.’ ” —Maureen Corrigan, Fresh Air, National Public Radio Beacon Press is proud to publish a new edition of the classic memoir by one of our most lively, influential, and engaged teachers and activists. Howard Zinn, author of A People’s History of the United States, tells his personal stories about more than thirty years of fighting for social change, from teaching at Spelman College to recent protests against war. A former bombardier in WWII, Zinn emerged in the civil rights movement as a powerful voice for justice. Although he’s a fierce critic, he gives us reason to hope that by learning from history and engaging politically, we can make a difference in the world. “A teacher who committed his politically engaged life to the belief that love is a command to action.” —Colman McCarthy, The Washington Post “A powerful, politically electric book from one of the most engaging social critics in the nation.” —Jonathan Kozol “Zinn explains his involvement in the struggles for civil rights, against war and in support of organized labor. . . . These are lively tales.” —The New York Times Book Review Howard Zinn, author of A People’s History of the United States and Three Strikes, lives near Boston.",214.0
When the Rivers Run Dry,"Water, the Defining Crisis of the Twenty-first Century",nature,Fred Pearce,9780807085738,http://books.google.com/books/content?id=C0_q-90H1aAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traveling to more than thirty countries to define the scientific, economic, and historical dimensions of the water crisis, offers a solution based on managing the water cycle for the maximum social good, rather than pure self-interest.",336.0
A Persian requiem,a novel,fiction,Sīmīn Dānishvar,9780807612743,http://books.google.com/books/content?id=yTYmAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chronicles the life of Zari, the wife of a feudal landlord, as she attempts to preserve her family amidst the turbulence of the British occupation of southern Persia during World War II",279.0
Jasmine and Stars,Reading More Than Lolita in Tehran,"literary, criticism",Fatemeh Keshavarz,9780807831090,http://books.google.com/books/content?id=-9PsdDIKEPoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In a direct, frank, and intimate exploration of Iranian literature and society, scholar, teacher, and poet Fatemeh Keshavarz challenges popular perceptions of Iran as a society bereft of vitality and joy. Her fresh perspective on present day Iran provides",174.0
Allusions in Ulysses,An Annotated List,"literary, criticism",Weldon Thornton,9780807840894,http://books.google.com/books/content?id=Dof6ABIIfwkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Allusions in Ulysses: An Annotated List,563.0
The Scotch-Irish,A Social History,history,James G. Leyburn,9780807842591,http://books.google.com/books/content?id=r9TX6swm_5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Dispelling much of what he terms the 'mythology' of the Scotch-Irish, James Leyburn provides an absorbing account of their heritage. He discusses their life in Scotland, when the essentials of their character and culture were shaped; their removal to Northern Ireland and the action of their residence in that region upon their outlook on life; and their successive migrations to America, where they settled especially in the back-country of Pennsylvania, Virginia, the Carolinas, and Georgia, and then after the Revolutionary War were in the van of pioneers to the west.",377.0
The Transcendence of the Ego,An Existentialist Theory of Consciousness,philosophy,Jean-Paul Sartre,9780809015450,http://books.google.com/books/content?id=17150PDhLu4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Transcendence of the Ego may be regarded as a turning-point in the philosophical development of Jean-Paul Sartre. Prior to the writing of this essay, published in France in 1937, Sartre had been intimately acquainted with the phenomenological movement which originated in Germany with Edmund Husserl. It is a fundamental tenet of Husserl, the notion of a transcendent ego, which is here attacked by Sartre. This disagreement with Husserl has great importance for Sartre and facilitated the transition from phenomenology to the doctrine of Being and Nothingness.",120.0
"Billy Budd, Sailor and Other Uncompleted Writings","Billy Budd, Sailor, Weeds and Wildings, Parthenope, Uncollected Prose, Uncollected Poetry",fiction,Herman Melville,9780810111134,http://books.google.com/books/content?id=MZMGwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The new reading text of Billy Budd, Sailor in this volume is based on a corrected version (also printed here) of the ""Genetic Text"" that was prepared by Harrison Hayford and originally published in 1962 by the University of Chicago Press in a volume edited by Hayford and Merton M. Sealts, Jr. This new reading text employs different editorial principles from those followed in the 1962 volume. Portions of the introduction and notes to that volume have also been used here in an extensively revised form.""",1016.0
The Phenomenon of Life,Toward a Philosophical Biology,philosophy,Hans Jonas;Eleonore Jonas,9780810117495,http://books.google.com/books/content?id=F2seCz7wmfQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"One of the most prominent thinkers of his generation, Hans Jonas wrote on topics as diverse as the philosophy of biology, ethics and cosmology. This work sets forth a systematic philosophy of biological facts, laid out in support of his claim that mind is prefigured throughout organic existence.",304.0
Lewis Carroll's Jabberwocky,A Book of Brillig Dioramas,"juvenile, nonfiction",Graeme Base,9780810935204,http://books.google.com/books/content?id=tyMFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lewis Carroll's classic and inventive verse comes to life in a series of ingenious dioramas, colorful three-dimensional renderings of the rhyme by the best-selling author-illustrator of Animalia and The Eleventh Hour.",14.0
The Beatles,365 Days,"performing, arts",Simon Wells,9780810959118,http://books.google.com/books/content?id=f_IkwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"More than four hundred rarely seen black-and-white and color photographs chronicle the career of the Beatles, from their 1963 emergence as part of the British pop music scene to their public breakup in 1970.",744.0
Creating the Worlds of Star Wars,365 Days,"performing, arts",John Knoll;J. W. Rinzler,9780810959361,http://books.google.com/books/content?id=H-oaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A visual effects supervisor for the Star Wars movies Attack of the Clones and Revenge of the Sith presents a comprehensive selection of one thousand behind-the-scenes images, including panoramic shots of sets and models, as well as concept art, props, film stills, and memorabilia from all six films, as well as a CD-ROM containing nearly three hundred navigable panoramas of the sets.",744.0
National Geographic Society,100 Years of Adventure and Discovery,photography,C. D.B. Bryan,9780810982192,http://books.google.com/books/content?id=S61TPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this celebratory volume, award-winning author Bryan brings the Society's legacy to life with stunning photos and dramatic accounts. 444 illustrations.",528.0
Pink Box,Inside Japan's Sex Clubs,art,Joan Sinclair,9780810992597,http://books.google.com/books/content?id=GujtAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Pink Box, photographer Joan Sinclair gives us a privileged view into Japan's most elaborate sex clubs. Unrivalled in their creativity and the sheer number of choices, these clubs offer their clientele every fantasy imaginable. Subway groping, video and comic book character encounters and visits to the nurse are just the beginning of the immense list of possibilities that are played out in colourful playrooms for adults where no detail is overlooked. Sinclair's photographs are colourful, fun and absolutely absorbing, and they capture the unique sensibility of Japanese culture that has given rise to Hello Kitty (who, by the way, is available for $800 an hour).",192.0
Safe Conduct,"An Autobiography, and Other Writings","biography, autobiography",Boris Leonidovich Pasternak,9780811201353,http://books.google.com/books/content?id=GW_mawWxyvwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Safe Conduct is Boris Pasternak's first autobiography written when he was forty and after the great success of Dr. Zhivago. Experimental in its category, its isolated sharp impressions and juxtapositions seem to deny a normal chronology.",256.0
The Samurai,A Novel,fiction,Shūsaku Endō,9780811213462,http://books.google.com/books/content?id=Bb1fXVWzkt8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"One of the late Shusaku Endo's finest works, The Samurai tells of the journey of some of the first Japanese to set foot on European soil and the resulting clash of cultures and politics.",272.0
